time_ms,vm_mV
0.000,-91.85043
1.000,-91.85043
2.000,-91.85043
3.000,-91.85043
4.000,-91.85043
5.000,-91.85043
6.000,-91.85043
7.000,-91.85043
8.000,-91.85043
9.000,29.03789
10.000,49.03789
11.000,49.03789
12.000,49.03789
13.000,49.03789
14.000,49.03789
15.000,49.03789
16.000,49.03789
17.000,49.03789
18.000,49.03789
19.000,49.03789
20.000,49.03789
21.000,49.03789
22.000,49.03789
23.000,49.03789
24.000,49.03789
25.000,49.03789
26.000,49.03789
27.000,49.03789
28.000,49.03789
29.000,49.03789
30.000,49.03789
31.000,49.03789
32.000,49.03789
33.000,49.03789
34.000,49.03789
35.000,49.03789
36.000,49.03789
37.000,49.03789
38.000,49.03789
39.000,49.03789
40.000,49.03789
41.000,49.03789
42.000,49.03789
43.000,49.03789
44.000,49.03789
45.000,49.03789
46.000,49.03789
47.000,49.03789
48.000,49.03789
49.000,49.03789
50.000,49.03789
51.000,49.03789
52.000,49.03789
53.000,49.03789
54.000,49.03789
55.000,49.03789
56.000,49.03789
57.000,49.03789
58.000,49.03789
59.000,49.03789
60.000,49.03789
61.000,49.03789
62.000,49.03789
63.000,49.03789
64.000,49.03789
65.000,49.03789
66.000,49.03789
67.000,49.03789
68.000,49.03789
69.000,49.03789
70.000,49.03789
71.000,49.03789
72.000,49.03789
73.000,49.03789
74.000,49.03789
75.000,49.03789
76.000,49.03789
77.000,49.03789
78.000,49.03789
79.000,49.03789
80.000,49.03789
81.000,49.03789
82.000,49.03789
83.000,49.03789
84.000,49.03789
85.000,49.03789
86.000,49.03789
87.000,49.03789
88.000,49.03789
89.000,49.03789
90.000,49.03789
91.000,49.03789
92.000,49.03789
93.000,49.03789
94.000,49.03789
95.000,49.03789
96.000,49.03789
97.000,49.03789
98.000,49.03789
99.000,49.03789
100.000,49.03789
101.000,49.03789
102.000,49.03789
103.000,49.03789
104.000,49.03789
105.000,49.03789
106.000,49.03789
107.000,49.03789
108.000,49.03789
109.000,49.03789
110.000,49.03789
111.000,49.03789
112.000,49.03789
113.000,49.03789
114.000,49.03789
115.000,49.03789
116.000,49.03789
117.000,49.03789
118.000,49.03789
119.000,49.03789
120.000,49.03789
121.000,49.03789
122.000,49.03789
123.000,49.03789
124.000,49.03789
125.000,49.03789
126.000,49.03789
127.000,49.03789
128.000,49.03789
129.000,49.03789
130.000,49.03789
131.000,49.03789
132.000,49.03789
133.000,49.03789
134.000,49.03789
135.000,49.03789
136.000,49.03789
137.000,49.03789
138.000,49.03789
139.000,49.03789
140.000,49.03789
141.000,49.03789
142.000,49.03789
143.000,49.03789
144.000,49.03789
145.000,49.03789
146.000,49.03789
147.000,49.03789
148.000,49.03789
149.000,49.03789
150.000,49.03789
151.000,49.03789
152.000,49.03789
153.000,49.03789
154.000,49.03789
155.000,49.03789
156.000,49.03789
157.000,48.89076
158.000,47.72867
159.000,46.57618
160.000,45.43320
161.000,44.29965
162.000,43.17547
163.000,42.06057
164.000,40.95488
165.000,39.85831
166.000,38.77080
167.000,37.69227
168.000,36.62264
169.000,35.56185
170.000,34.50981
171.000,33.46647
172.000,32.43173
173.000,31.40554
174.000,30.38783
175.000,29.37851
176.000,28.37753
177.000,27.38482
178.000,26.40030
179.000,25.42391
180.000,24.45558
181.000,23.49525
182.000,22.54285
183.000,21.59831
184.000,20.66157
185.000,19.73257
186.000,18.81124
187.000,17.89751
188.000,16.99133
189.000,16.09263
190.000,15.20135
191.000,14.31743
192.000,13.44081
193.000,12.57142
194.000,11.70922
195.000,10.85413
196.000,10.00611
197.000,9.16509
198.000,8.33101
199.000,7.50382
200.000,6.68345
201.000,5.86987
202.000,5.06300
203.000,4.26279
204.000,3.46919
205.000,2.68214
206.000,1.90159
207.000,1.12749
208.000,0.35977
209.000,-0.40160
210.000,-1.15669
211.000,-1.90554
212.000,-2.64821
213.000,-3.38475
214.000,-4.11520
215.000,-4.83963
216.000,-5.55807
217.000,-6.27058
218.000,-6.97721
