time_ms,vm_mV
0.000,-92.05717
1.000,-92.05717
2.000,-92.05717
3.000,-92.05717
4.000,-92.05717
5.000,-92.05717
6.000,-92.05717
7.000,-92.05717
8.000,-92.05717
9.000,27.76782
10.000,47.76782
11.000,47.76782
12.000,47.76782
13.000,47.76782
14.000,47.76782
15.000,47.76782
16.000,47.76782
17.000,47.76782
18.000,47.76782
19.000,47.76782
20.000,47.76782
21.000,47.76782
22.000,47.76782
23.000,47.76782
24.000,47.76782
25.000,47.76782
26.000,47.76782
27.000,47.76782
28.000,47.76782
29.000,47.76782
30.000,47.76782
31.000,47.76782
32.000,47.76782
33.000,47.76782
34.000,47.76782
35.000,47.76782
36.000,47.76782
37.000,47.76782
38.000,47.76782
39.000,47.76782
40.000,47.76782
41.000,47.76782
42.000,47.76782
43.000,47.76782
44.000,47.76782
45.000,47.76782
46.000,47.76782
47.000,47.76782
48.000,47.76782
49.000,47.76782
50.000,47.76782
51.000,47.76782
52.000,47.76782
53.000,47.76782
54.000,47.76782
55.000,47.76782
56.000,47.76782
57.000,47.76782
58.000,47.76782
59.000,47.76782
60.000,47.76782
61.000,47.76782
62.000,47.76782
63.000,47.76782
64.000,47.76782
65.000,47.76782
66.000,47.76782
67.000,47.76782
68.000,47.76782
69.000,47.76782
70.000,47.76782
71.000,47.76782
72.000,47.76782
73.000,47.76782
74.000,47.76782
75.000,47.76782
76.000,47.76782
77.000,47.76782
78.000,47.76782
79.000,47.76782
80.000,47.76782
81.000,47.76782
82.000,47.76782
83.000,47.76782
84.000,47.76782
85.000,47.76782
86.000,47.76782
87.000,47.76782
88.000,47.76782
89.000,47.76782
90.000,47.76782
91.000,47.76782
92.000,47.76782
93.000,47.76782
94.000,47.76782
95.000,47.76782
96.000,47.76782
97.000,47.76782
98.000,47.76782
99.000,47.76782
100.000,47.76782
101.000,47.76782
102.000,47.76782
103.000,47.76782
104.000,47.76782
105.000,47.76782
106.000,47.76782
107.000,47.76782
108.000,47.76782
109.000,47.76782
110.000,47.76782
111.000,47.76782
112.000,47.76782
113.000,47.76782
114.000,47.76782
115.000,47.76782
116.000,47.76782
117.000,47.76782
118.000,47.76782
119.000,47.76782
120.000,47.76782
121.000,47.76782
122.000,47.76782
123.000,47.76782
124.000,47.76782
125.000,47.76782
126.000,47.76782
127.000,47.76782
128.000,47.76782
129.000,47.76782
130.000,47.76782
131.000,47.76782
132.000,47.76782
133.000,47.76782
134.000,47.76782
135.000,47.76782
136.000,47.76782
137.000,47.76782
138.000,47.76782
139.000,47.76782
140.000,47.76782
141.000,47.76782
142.000,47.76782
143.000,47.76782
144.000,47.52445
145.000,46.26273
146.000,45.01241
147.000,43.77340
148.000,42.54559
149.000,41.32887
150.000,40.12315
151.000,38.92834
152.000,37.74432
153.000,36.57100
154.000,35.40829
155.000,34.25609
156.000,33.11431
157.000,31.98285
158.000,30.86161
159.000,29.75051
160.000,28.64945
161.000,27.55835
162.000,26.47711
163.000,25.40564
164.000,24.34386
165.000,23.29168
166.000,22.24900
167.000,21.21575
168.000,20.19185
169.000,19.17719
170.000,18.17171
171.000,17.17532
172.000,16.18793
173.000,15.20947
174.000,14.23986
175.000,13.27901
176.000,12.32684
177.000,11.38328
178.000,10.44825
179.000,9.52167
180.000,8.60347
181.000,7.69357
182.000,6.79189
183.000,5.89836
184.000,5.01291
185.000,4.13547
186.000,3.26595
187.000,2.40430
188.000,1.55043
189.000,0.70429
190.000,-0.13421
191.000,-0.96513
192.000,-1.78854
193.000,-2.60451
194.000,-3.41310
195.000,-4.21438
196.000,-5.00842
197.000,-5.79528
198.000,-6.57502
199.000,-7.34772
200.000,-8.11344
201.000,-8.87223
202.000,-9.62416
203.000,-10.36930
204.000,-11.10770
205.000,-11.83943
206.000,-12.56454
207.000,-13.28310
208.000,-13.99516
209.000,-14.70079
210.000,-15.40004
211.000,-16.09296
212.000,-16.77963
213.000,-17.46008
214.000,-18.13439
215.000,-18.80260
216.000,-19.46477
217.000,-20.12096
218.000,-20.77121
219.000,-21.41559
220.000,-22.05414
221.000,-22.68691
222.000,-23.31397
223.000,-23.93536
224.000,-24.55114
225.000,-25.16135
226.000,-25.76604
227.000,-26.36526
228.000,-26.95907
229.000,-27.54751
230.000,-28.13064
231.000,-28.70849
232.000,-29.28112
233.000,-29.84857
234.000,-30.41089
235.000,-30.96813
236.000,-31.52033
237.000,-32.06754
238.000,-32.60981
239.000,-33.14717
240.000,-33.67968
241.000,-34.20737
242.000,-34.73029
243.000,-35.24848
244.000,-35.76200
245.000,-36.27086
246.000,-36.77513
247.000,-37.27485
248.000,-37.77004
249.000,-38.26076
250.000,-38.74704
251.000,-39.22893
252.000,-39.70646
253.000,-40.17967
254.000,-40.64861
255.000,-41.11330
256.000,-41.57380
257.000,-42.03014
258.000,-42.48235
259.000,47.76782
260.000,47.76782
261.000,47.76782
262.000,47.76782
263.000,47.76782
264.000,47.76782
265.000,47.76782
266.000,47.76782
267.000,47.76782
268.000,47.76782
269.000,47.76782
270.000,47.76782
271.000,47.76782
272.000,47.76782
273.000,47.76782
274.000,47.76782
275.000,47.76782
276.000,47.76782
277.000,47.76782
278.000,47.76782
279.000,47.76782
280.000,47.76782
281.000,47.76782
282.000,47.76782
283.000,47.76782
284.000,47.76782
285.000,47.76782
286.000,47.76782
287.000,47.76782
288.000,47.76782
289.000,47.76782
290.000,47.76782
291.000,47.76782
292.000,47.76782
293.000,47.76782
294.000,47.76782
295.000,47.76782
296.000,47.76782
297.000,47.76782
298.000,47.76782
299.000,47.76782
300.000,47.76782
301.000,47.76782
302.000,47.76782
303.000,47.76782
304.000,47.76782
305.000,47.76782
306.000,47.76782
307.000,47.76782
308.000,47.76782
309.000,47.76782
310.000,47.76782
311.000,47.76782
312.000,47.76782
313.000,47.76782
314.000,47.76782
315.000,47.76782
316.000,47.76782
317.000,47.76782
318.000,47.76782
319.000,47.76782
320.000,47.76782
321.000,47.76782
322.000,47.76782
323.000,47.76782
324.000,47.76782
325.000,47.76782
326.000,47.76782
327.000,47.76782
328.000,47.76782
329.000,47.76782
330.000,47.76782
331.000,47.76782
332.000,47.76782
333.000,47.76782
334.000,47.76782
335.000,47.76782
336.000,47.76782
337.000,47.76782
338.000,47.76782
339.000,47.76782
340.000,47.76782
341.000,47.76782
342.000,47.76782
343.000,47.76782
344.000,47.76782
345.000,47.76782
346.000,47.76782
347.000,47.76782
348.000,47.76782
349.000,47.76782
350.000,47.76782
351.000,47.76782
352.000,47.76782
353.000,47.76782
354.000,47.76782
355.000,47.76782
356.000,47.76782
357.000,47.76782
358.000,47.76782
359.000,47.76782
360.000,47.76782
361.000,47.76782
362.000,47.76782
363.000,47.76782
364.000,47.76782
365.000,47.76782
366.000,47.76782
367.000,47.76782
368.000,47.76782
369.000,47.76782
370.000,47.76782
371.000,47.76782
372.000,47.76782
373.000,47.76782
374.000,47.76782
375.000,47.76782
376.000,47.76782
377.000,47.76782
378.000,47.76782
379.000,47.76782
380.000,47.76782
381.000,47.76782
382.000,47.76782
383.000,47.76782
384.000,47.76782
385.000,47.76782
386.000,47.76782
387.000,47.76782
388.000,47.76782
389.000,47.76782
390.000,47.76782
391.000,47.76782
392.000,47.76782
393.000,47.76782
394.000,47.76782
395.000,47.76782
396.000,47.76782
397.000,47.76782
398.000,47.76782
399.000,47.76782
400.000,47.76782
401.000,47.76782
402.000,47.76782
403.000,47.76782
404.000,47.76782
405.000,47.09639
406.000,45.83854
407.000,44.59206
408.000,43.35684
409.000,42.13279
410.000,40.91981
411.000,39.71779
412.000,38.52664
413.000,37.34625
414.000,36.17653
415.000,35.01739
416.000,33.86872
417.000,32.73044
418.000,31.60245
419.000,30.48465
420.000,29.37696
421.000,28.27928
422.000,27.19152
423.000,26.11359
424.000,25.04541
425.000,23.98689
426.000,22.93793
427.000,21.89845
428.000,20.86837
429.000,19.84760
430.000,18.83606
431.000,17.83367
432.000,16.84033
433.000,15.85597
434.000,14.88051
435.000,13.91387
436.000,12.95596
437.000,12.00672
438.000,11.06605
439.000,10.13389
440.000,9.21016
441.000,8.29477
442.000,7.38766
443.000,6.48874
444.000,5.59796
445.000,4.71522
446.000,3.84047
447.000,2.97362
448.000,2.11461
449.000,1.26336
450.000,0.41981
451.000,-0.41612
452.000,-1.24449
453.000,-2.06537
454.000,-2.87884
455.000,-3.68495
456.000,-4.48377
457.000,-5.27537
458.000,-6.05982
459.000,-6.83718
460.000,-7.60751
461.000,-8.37087
462.000,-9.12734
463.000,-9.87697
464.000,-10.61982
465.000,-11.35596
466.000,-12.08544
467.000,-12.80833
468.000,-13.52468
469.000,-14.23456
470.000,-14.93802
471.000,-15.63513
472.000,-16.32593
473.000,-17.01049
474.000,-17.68886
475.000,-18.36109
476.000,-19.02726
477.000,-19.68740
478.000,-20.34157
479.000,-20.98983
480.000,-21.63223
481.000,-22.26882
482.000,-22.89966
483.000,-23.52479
484.000,-24.14428
485.000,-24.75816
486.000,-25.36650
487.000,-25.96934
488.000,-26.56672
489.000,-27.15871
490.000,-27.74535
491.000,-28.32668
492.000,-28.90276
493.000,-29.47363
494.000,-30.03935
495.000,-30.59994
496.000,-31.15548
497.000,-31.70598
498.000,-32.25152
499.000,-32.79212
500.000,-33.32783
501.000,-33.85871
502.000,-34.38478
503.000,-34.90610
504.000,-35.42270
505.000,-35.93464
506.000,-36.44195
507.000,-36.94467
508.000,-37.44285
509.000,47.76782
510.000,47.76782
511.000,47.76782
512.000,47.76782
513.000,47.76782
514.000,47.76782
515.000,47.76782
516.000,47.76782
517.000,47.76782
518.000,47.76782
519.000,47.76782
520.000,47.76782
521.000,47.76782
522.000,47.76782
523.000,47.76782
524.000,47.76782
525.000,47.76782
526.000,47.76782
527.000,47.76782
528.000,47.76782
529.000,47.76782
530.000,47.76782
531.000,47.76782
532.000,47.76782
533.000,47.76782
534.000,47.76782
535.000,47.76782
536.000,47.76782
537.000,47.76782
538.000,47.76782
539.000,47.76782
540.000,47.76782
541.000,47.76782
542.000,47.76782
543.000,47.76782
544.000,47.76782
545.000,47.76782
546.000,47.76782
547.000,47.76782
548.000,47.76782
549.000,47.76782
550.000,47.76782
551.000,47.76782
552.000,47.76782
553.000,47.76782
554.000,47.76782
555.000,47.76782
556.000,47.76782
557.000,47.76782
558.000,47.76782
559.000,47.76782
560.000,47.76782
561.000,47.76782
562.000,47.76782
563.000,47.76782
564.000,47.76782
565.000,47.76782
566.000,47.76782
567.000,47.76782
568.000,47.76782
569.000,47.76782
570.000,47.76782
571.000,47.76782
572.000,47.76782
573.000,47.76782
574.000,47.76782
575.000,47.76782
576.000,47.76782
577.000,47.76782
578.000,47.76782
579.000,47.76782
580.000,47.76782
581.000,47.76782
582.000,47.76782
583.000,47.76782
584.000,47.76782
585.000,47.76782
586.000,47.76782
587.000,47.76782
588.000,47.76782
589.000,47.76782
590.000,47.76782
591.000,47.76782
592.000,47.76782
593.000,47.76782
594.000,47.76782
595.000,47.76782
596.000,47.76782
597.000,47.76782
598.000,47.76782
599.000,47.76782
600.000,47.76782
601.000,47.76782
602.000,47.76782
603.000,47.76782
604.000,47.76782
605.000,47.76782
606.000,47.76782
607.000,47.76782
608.000,47.76782
609.000,47.76782
610.000,47.76782
611.000,47.76782
612.000,47.76782
613.000,47.76782
