time_ms,vm_mV
0.000,-91.60575
1.000,-91.60575
2.000,-91.60575
3.000,-91.60575
4.000,-91.60575
5.000,-91.60575
6.000,-91.60575
7.000,-91.60575
8.000,-89.83162
9.000,-37.54777
10.000,25.85118
11.000,28.47879
12.000,28.01940
13.000,27.56001
14.000,27.10062
15.000,26.64123
16.000,26.18184
17.000,25.72245
18.000,25.26305
19.000,24.80366
20.000,24.34427
21.000,23.88488
22.000,23.42549
23.000,22.96610
24.000,22.50671
25.000,22.04732
26.000,21.58793
27.000,21.12854
28.000,20.66915
29.000,20.20976
30.000,19.75037
31.000,19.29098
32.000,18.83159
33.000,18.37220
34.000,17.91281
35.000,17.45342
36.000,16.99403
37.000,16.53464
38.000,16.07525
39.000,15.61586
40.000,15.15647
41.000,14.69708
42.000,14.23769
43.000,13.77830
44.000,13.31891
45.000,12.85952
46.000,12.40013
47.000,11.94074
48.000,11.48135
49.000,11.02196
50.000,10.56257
51.000,10.10317
52.000,9.64378
53.000,9.18439
54.000,8.72500
55.000,8.26561
56.000,7.80622
57.000,7.34683
58.000,6.88744
59.000,6.42805
60.000,5.96866
61.000,5.50927
62.000,5.04988
63.000,4.59049
64.000,4.13110
65.000,3.67171
66.000,3.21232
67.000,2.75293
68.000,2.29354
69.000,1.83415
70.000,1.37476
71.000,0.91537
72.000,0.45598
73.000,-0.00341
74.000,-0.46280
75.000,-0.92219
76.000,-1.38158
77.000,-1.84097
78.000,-2.30036
79.000,-2.75975
80.000,-3.21914
81.000,-3.67853
82.000,-4.13792
83.000,-4.59732
84.000,-5.05671
85.000,-5.51610
86.000,-5.97549
87.000,-6.43488
88.000,-6.89427
89.000,-7.35366
90.000,-7.81305
91.000,-8.27244
92.000,-8.73183
93.000,-9.19122
94.000,-9.65061
95.000,-10.11000
96.000,-10.56939
97.000,-11.02878
98.000,-11.48817
99.000,-11.94756
100.000,-12.40695
101.000,-12.86634
102.000,-13.32573
103.000,-13.78512
104.000,-14.24451
105.000,-14.70390
106.000,-15.16329
107.000,-15.62268
108.000,-16.08207
109.000,-16.54146
110.000,-17.00085
111.000,-17.46024
112.000,-17.91963
113.000,-18.37902
114.000,-18.83841
115.000,-19.29780
116.000,-19.75720
117.000,-20.21659
118.000,-20.67598
119.000,-21.13537
120.000,-21.59476
121.000,-22.05415
122.000,-22.51354
123.000,-22.97293
124.000,-23.43232
125.000,-23.89171
126.000,-24.35110
127.000,-24.81049
128.000,-25.26988
129.000,-25.72927
130.000,-26.18866
131.000,-26.64805
132.000,-27.10744
133.000,-27.56683
134.000,-28.02622
135.000,-28.48561
136.000,-28.94500
137.000,-29.40439
138.000,-29.86378
139.000,-30.32317
140.000,-30.78256
141.000,-31.24195
142.000,-32.31324
143.000,-34.74472
144.000,-37.07649
145.000,-39.31263
146.000,-41.45707
147.000,-43.51358
148.000,-45.48575
149.000,-47.37704
150.000,-49.19078
151.000,-50.93014
152.000,-52.59817
153.000,-54.19780
154.000,-55.73183
155.000,-57.20295
156.000,-58.61375
157.000,-59.96669
158.000,-61.26415
159.000,-62.50840
160.000,-63.70163
161.000,-64.84593
162.000,-65.94330
163.000,-66.99567
164.000,-68.00488
165.000,-68.97271
166.000,-69.90085
167.000,-70.79093
168.000,-71.64450
169.000,-72.46308
170.000,-73.24808
171.000,-74.00090
172.000,-74.72284
173.000,-75.41518
174.000,-76.07912
175.000,-76.71584
176.000,-77.32645
177.000,-77.91201
178.000,-78.47357
179.000,-79.01210
180.000,-79.52854
181.000,-80.02380
182.000,-80.49876
183.000,-80.95423
184.000,-81.39103
185.000,-81.80992
186.000,-82.21163
187.000,-82.59686
188.000,-82.96630
189.000,-83.32059
190.000,-83.66035
191.000,-83.98617
192.000,-84.29864
193.000,-84.59829
194.000,-84.88565
195.000,-85.16123
196.000,-85.42551
197.000,-85.67895
198.000,-85.92200
199.000,-86.15508
200.000,-86.37860
201.000,-86.59295
202.000,-86.79852
203.000,-86.99566
204.000,-87.18471
205.000,-87.36601
206.000,-87.53987
207.000,-87.70660
208.000,-87.86650
209.000,-88.01984
210.000,-88.16689
211.000,-88.30791
212.000,-88.44315
213.000,-88.57284
214.000,-88.69722
215.000,-88.81649
216.000,-88.93087
